t_ms,ax_g,ay_g,az_g,label
5887,0.200812,-0.081008,0.00854,UPDOWN
5905,0.194285,-0.074237,0.035868,UPDOWN
5923,0.178303,-0.069052,0.086803,UPDOWN
5940,0.152988,-0.04514,0.191052,UPDOWN
5958,0.135115,-0.025132,0.332328,UPDOWN
5976,0.120048,0.010309,0.555771,UPDOWN
5994,0.144936,0.026108,0.762012,UPDOWN
6009,0.160003,0.063196,0.975085,UPDOWN
6027,0.153232,0.118401,1.27124,UPDOWN
6045,0.054961,0.195871,1.568493,UPDOWN
6062,0,0.206363,1.680733,UPDOWN
6080,0.087779,0.166713,1.609912,UPDOWN
6098,0.194407,0.151768,1.664507,UPDOWN
6115,0.200385,0.166469,1.890451,UPDOWN
6133,0.176107,0.157319,1.948645,UPDOWN
6151,0.157685,0.153415,1.870443,UPDOWN
6168,0.162809,0.161345,1.80804,UPDOWN
6184,0.153293,0.163419,1.684393,UPDOWN
6202,0.141764,0.17934,1.627236,UPDOWN
6219,0.138836,0.188612,1.526769,UPDOWN
6237,0.150548,0.188551,1.37982,UPDOWN
6255,0.117547,0.180316,1.166015,UPDOWN
6273,0.082289,0.163175,0.959957,UPDOWN
6290,0.081069,0.125355,0.832528,UPDOWN
6308,0.105713,0.092232,0.728096,UPDOWN
6326,0.174399,0.030317,0.572241,UPDOWN
6343,0.190625,-0.014213,0.430965,UPDOWN
6359,0.153903,-0.050325,0.306464,UPDOWN
6377,0.125904,-0.085095,0.21228,UPDOWN
6395,0.090341,-0.102907,0.13542,UPDOWN
6412,0.102236,-0.129808,0.069479,UPDOWN
6430,0.122488,-0.130357,0.102297,UPDOWN
6448,0.109068,-0.104615,0.169092,UPDOWN
6466,0.096685,-0.077287,0.241255,UPDOWN
6481,0.125477,-0.062281,0.351909,UPDOWN
6499,0.194956,-0.058072,0.46848,UPDOWN
6517,0.2257,-0.026596,0.596031,UPDOWN
6535,0.230092,0.017385,0.792268,UPDOWN
6553,0.185196,0.102907,1.071221,UPDOWN
6570,0.124013,0.129747,1.294603,UPDOWN
6588,0.109007,0.166713,1.491145,UPDOWN
6606,0.081008,0.205387,1.663836,UPDOWN
6621,0.068503,0.193492,1.763449,UPDOWN
6639,0.091439,0.164517,1.90686,UPDOWN
6657,0.105103,0.160308,1.998604,UPDOWN
6674,0.101809,0.144631,1.964688,UPDOWN
6692,0.08052,0.120353,1.804136,UPDOWN
6710,0.076128,0.100284,1.635288,UPDOWN
6727,0.122732,0.088999,1.524085,UPDOWN
6745,0.145729,0.111508,1.490169,UPDOWN
6763,0.119316,0.134749,1.406233,UPDOWN
6780,0.096685,0.137128,1.224392,UPDOWN
6796,0.091012,0.130479,1.093181,UPDOWN
6814,0.089243,0.119255,0.959469,UPDOWN
6831,0.106323,0.078751,0.771589,UPDOWN
6849,0.128832,0.037332,0.578097,UPDOWN
6867,0.140544,-0.010065,0.359412,UPDOWN
6885,0.14396,-0.046848,0.2013,UPDOWN
6902,0.142923,-0.074176,0.107055,UPDOWN
6920,0.140239,-0.075884,0.082777,UPDOWN
6936,0.173789,-0.072773,0.100223,UPDOWN
6954,0.148291,-0.050447,0.156587,UPDOWN
6971,0.122488,-0.058072,0.188551,UPDOWN
6989,0.116815,-0.061915,0.294996,UPDOWN
7007,0.109129,-0.038735,0.465369,UPDOWN
7025,0.137189,-0.022265,0.627812,UPDOWN
7043,0.160552,0.004636,0.813557,UPDOWN
7058,0.229421,-0.008296,0.962275,UPDOWN
7076,0.240889,0.016043,1.169248,UPDOWN
7094,0.161284,0.069357,1.412028,UPDOWN
7111,0.062952,0.111813,1.575813,UPDOWN
7129,0.024339,0.150792,1.74948,UPDOWN
7147,0.056425,0.13664,1.846775,UPDOWN
7164,0.051484,0.140788,1.981097,UPDOWN
7182,0.01098,0.154269,1.998604,UPDOWN
7200,-0.005612,0.129503,1.918877,UPDOWN
7216,0.008479,0.094428,1.685552,UPDOWN
7233,0.076921,0.079788,1.490108,UPDOWN
7251,0.156953,0.080764,1.353956,UPDOWN
7269,0.206119,0.084851,1.246535,UPDOWN
7286,0.205936,0.078568,1.031937,UPDOWN
7304,0.181109,0.064172,0.810812,UPDOWN
7322,0.161772,0.059475,0.636352,UPDOWN
7339,0.155489,0.048556,0.472628,UPDOWN
7357,0.157868,0.020801,0.356728,UPDOWN
7375,0.148169,0.002867,0.291763,UPDOWN
7390,0.140239,-0.028243,0.211731,UPDOWN
7408,0.123708,-0.046543,0.162748,UPDOWN
7426,0.099125,-0.046848,0.133956,UPDOWN
7444,0.071675,-0.04026,0.178608,UPDOWN
7462,0.043005,-0.026657,0.250893,UPDOWN
7479,0.015433,-0.009028,0.386801,UPDOWN
7497,0.042761,0.003904,0.536861,UPDOWN
7513,0.121451,0.016348,0.71858,UPDOWN
7530,0.202276,0.030744,0.846924,UPDOWN
7548,0.222467,0.074359,1.070916,UPDOWN
7566,0.243024,0.107116,1.28832,UPDOWN
7583,0.235948,0.166408,1.452776,UPDOWN
7601,0.202032,0.222223,1.624552,UPDOWN
7619,0.179584,0.261263,1.863672,UPDOWN
7637,0.08662,0.252052,1.998604,UPDOWN
7654,0.058133,0.20496,1.998604,UPDOWN
7672,0.13054,0.15006,1.804563,UPDOWN
7688,0.201483,0.124928,1.739232,UPDOWN
7705,0.231617,0.134993,1.702876,UPDOWN
7723,0.219356,0.139812,1.592527,UPDOWN
7741,0.180255,0.144265,1.411296,UPDOWN
7758,0.14884,0.141764,1.220915,UPDOWN
7776,0.150975,0.139751,1.067805,UPDOWN
7794,0.156831,0.129259,0.964044,UPDOWN
7811,0.109068,0.118096,0.810019,UPDOWN
7829,0.0793,0.084241,0.607011,UPDOWN
7847,0.066612,0.056608,0.454816,UPDOWN
7862,0.051179,0.025864,0.291519,UPDOWN
7880,0.062952,-0.015128,0.193492,UPDOWN
7898,0.058499,-0.032269,0.167201,UPDOWN
7916,0.057828,-0.055693,0.085827,UPDOWN
7933,0.067344,-0.06954,0.043371,UPDOWN
7951,0.066856,-0.07564,0.082716,UPDOWN
7969,0.060512,-0.070272,0.170373,UPDOWN
7985,0.104188,-0.059841,0.268217,UPDOWN
8002,0.179828,-0.019947,0.461404,UPDOWN
8020,0.227652,0.018544,0.684664,UPDOWN
8038,0.215391,0.074908,0.941047,UPDOWN
8056,0.17324,0.129869,1.261724,UPDOWN
8073,0.184952,0.20008,1.654869,UPDOWN
8091,0.208864,0.272548,1.964261,UPDOWN
8109,0.225273,0.244183,1.998604,UPDOWN
8126,0.173057,0.184952,1.998604,UPDOWN
8142,0.08662,0.141032,1.998604,UPDOWN
8160,0.077348,0.123708,1.92394,UPDOWN
8177,0.132553,0.109861,1.789069,UPDOWN
8195,0.178669,0.103273,1.646024,UPDOWN
8213,0.187392,0.103761,1.495781,UPDOWN
8230,0.154208,0.108885,1.349808,UPDOWN
8248,0.131821,0.115412,1.186145,UPDOWN
8266,0.116571,0.107604,0.964044,UPDOWN
8284,0.096319,0.097844,0.771101,UPDOWN
8301,0.103212,0.062708,0.541009,UPDOWN
8317,0.110227,0.026108,0.349469,UPDOWN
8335,0.109373,-0.007015,0.205448,UPDOWN
8352,0.094855,-0.016592,0.132004,UPDOWN
8370,0.112179,-0.02318,0.082899,UPDOWN
8388,0.129808,-0.017324,0.082228,UPDOWN
8406,0.106384,-0.002501,0.133773,UPDOWN
8423,0.069052,0.003416,0.193492,UPDOWN
8441,0.046909,0.003721,0.267485,UPDOWN
8457,0.064843,0.007503,0.39528,UPDOWN
8474,0.07808,0.022265,0.552843,UPDOWN
8492,0.126453,0.025864,0.770552,UPDOWN
8510,0.172447,0.05002,1.024129,UPDOWN
8528,0.19642,0.077897,1.210423,UPDOWN
8545,0.230275,0.110349,1.376465,UPDOWN
8563,0.2684,0.150792,1.567395,UPDOWN
8581,0.304573,0.163968,1.804868,UPDOWN
8598,0.245464,0.183549,1.998604,UPDOWN
8616,0.115351,0.218441,1.998604,UPDOWN
8632,0.025132,0.20862,1.998604,UPDOWN
8649,0.010492,0.17934,1.86538,UPDOWN
8667,0.063013,0.162443,1.774124,UPDOWN
8685,0.131028,0.155489,1.658468,UPDOWN
8702,0.177632,0.133468,1.422825,UPDOWN
8720,0.188917,0.116632,1.169736,UPDOWN
8738,0.167689,0.110349,0.968924,UPDOWN
8755,0.144387,0.114131,0.830271,UPDOWN
8773,0.123464,0.094428,0.670451,UPDOWN
8791,0.118096,0.065636,0.528931,UPDOWN
8806,0.097783,0.042883,0.394548,UPDOWN
8824,0.097844,0.028853,0.307135,UPDOWN
8842,0.089304,0.01342,0.239364,UPDOWN
8859,0.082289,-0.007808,0.149145,UPDOWN
8877,0.083265,-0.042212,0.069845,UPDOWN
8895,0.084424,-0.068076,0.068015,UPDOWN
8913,0.06344,-0.084241,0.085217,UPDOWN
8931,0.061305,-0.061183,0.202032,UPDOWN
8946,0.074847,-0.029768,0.384788,UPDOWN
8964,0.146217,0.024705,0.620675,UPDOWN
8982,0.248331,0.055876,0.907131,UPDOWN
8999,0.25742,0.106933,1.196149,UPDOWN
9017,0.246928,0.130845,1.443199,UPDOWN
9035,0.220332,0.157929,1.591185,UPDOWN
9053,0.214476,0.15372,1.745637,UPDOWN
9070,0.193797,0.120292,1.823595,UPDOWN
9088,0.16714,0.12078,1.848727,UPDOWN
9104,0.147193,0.155916,1.870748,UPDOWN
9121,0.150243,0.173728,1.852936,UPDOWN
9139,0.145912,0.16714,1.751859,UPDOWN
9157,0.111264,0.148596,1.604056,UPDOWN
9174,0.099064,0.130296,1.430572,UPDOWN
9192,0.101199,0.127185,1.248304,UPDOWN
9210,0.117852,0.126392,1.099525,UPDOWN
9227,0.101077,0.122549,0.931409,UPDOWN
9245,0.115595,0.105652,0.749812,UPDOWN
9263,0.111264,0.095099,0.643245,UPDOWN
9278,0.094672,0.076067,0.543937,UPDOWN
9296,0.088572,0.053619,0.444263,UPDOWN
9314,0.1159,0.01708,0.329644,UPDOWN
9331,0.128527,-0.006832,0.254248,UPDOWN
9349,0.146156,-0.031903,0.205509,UPDOWN
9367,0.146583,-0.065148,0.158417,UPDOWN
9385,0.135969,-0.093452,0.142557,UPDOWN
9403,0.126392,-0.108336,0.194224,UPDOWN
9418,0.128344,-0.081435,0.36844,UPDOWN
9436,0.176656,-0.026108,0.633119,UPDOWN
9454,0.255285,0.016836,0.851743,UPDOWN
9472,0.285663,0.075213,1.114287,UPDOWN
9489,0.214476,0.152439,1.446127,UPDOWN
9507,0.1342,0.184952,1.626748,UPDOWN
9525,0.107604,0.218624,1.817312,UPDOWN
9542,0.134688,0.236192,1.917352,UPDOWN
9560,0.171593,0.227896,1.976705,UPDOWN
9576,0.193492,0.211243,1.929735,UPDOWN
9593,0.186172,0.199592,1.843664,UPDOWN
9611,0.207217,0.184891,1.757288,UPDOWN
